Gruppi di nazioni;Italia;Italia;Germania;Germania;Austria;Austria;Svizzera e Liechtenstein;Svizzera e Liechtenstein;Benelux;Benelux;Altri paesi;Altri paesi;Totale;Totale
Comunità comprensoriale;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze
Alta Valle Isarco;12507;44709;18741;72663;659;1864;497;1779;446;1559;1436;6782;34286;129356
Bolzano;12523;24051;1781;3883;803;1508;260;438;120;391;1888;3772;17375;34043
Burgraviato;22396;75176;8624;52311;1029;3056;1292;5837;194;908;1486;7851;35021;145139
Oltradige-Bassa Ates.;7638;25051;2505;13678;161;420;95;534;98;597;1115;5821;11612;46101
Salto-Sciliar;49666;224906;39854;217733;2379;8967;2742;13501;5766;32696;26489;160132;126896;657935
Val Pusteria;114031;515295;81624;417491;5735;19325;2722;12185;5095;26444;41465;219862;250672;1210602
Val Venosta;7111;26682;18833;97761;734;2364;2401;8668;633;3748;3477;18378;33189;157601
Valle Isarco;18946;71239;26851;123458;1200;3334;1135;4254;669;2748;4172;18640;52973;223673
Totale;244818;1007109;198813;998978;12700;40838;11144;47196;13021;69091;81528;441238;562024;2604450
