Tipologia;Esercizi alberghieri;Esercizi alberghieri;Esercizi extralberghieri;Esercizi extralberghieri;Totale;Totale
Categoria;;;;;;
Comunità comprensoriale;Esercizi ricettivi;Posti letto;Esercizi ricettivi;Posti letto;Esercizi ricettivi;Posti letto
Alta Valle Isarco;139;6575;164;3253;303;9828
Bolzano;39;2612;86;888;125;3500
Burgraviato;961;31649;956;10810;1917;42459
Oltradige-Bassa Ates.;297;10785;596;6617;893;17402
Salto-Sciliar;744;27382;1341;12181;2085;39563
Val Pusteria;1173;44073;1953;23676;3126;67749
Val Venosta;341;12303;372;6409;713;18712
Valle Isarco;373;14729;528;5849;901;20578
